task_index	label	input_path	input_sha256	expected_atoms
0	pristine	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00000-pristine/scf.in	63d718e358ac8ac1bd687e0d631815eaf1101eaeab3d350cae56587716ece3da	72
1	disp00001	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00001-disp00001/scf.in	fc2f5bfb431d947d6723d7d0e279e9c695b9add86a596beba457f6082b3150c6	72
2	disp00002	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00002-disp00002/scf.in	3d2fcbca9c9f32e6be107e1280ebe24be41b8f0949315888b5b495e913e1dcd7	72
3	disp00003	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00003-disp00003/scf.in	35ca7e2ddeec0f6caa71af87cfa428cf4a46516b27a3f0d8e64e1b9e377b4509	72
4	disp00004	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00004-disp00004/scf.in	0ad96a4319112609c8eecfea5e3deaf4025c019c6774f83e64e64d4bfcb6d0da	72
5	disp00005	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00005-disp00005/scf.in	61c90c950da1787c5aaee20bd33a9e91c671f2faaa892d867b6326530b7da55d	72
6	disp00006	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00006-disp00006/scf.in	e7b33af5d047a9fe3b1968745fdb8621c58f64d4100f87e2b4b1d3380cc156e2	72
7	disp00007	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00007-disp00007/scf.in	d654adbf1525b7bde682767a3ed83fd0e27dcf8b4e83a67d3df81588610aaff9	72
8	disp00008	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00008-disp00008/scf.in	2b55e8f6a9ff1eed1c4ef735f0f63ef9a76130a2d684481d45998a6f7dd9982b	72
9	disp00009	/scratch/yuhansun/phono3py-runs/20260914-rb-fire-full-firstpass/Rb2Cu2SnS4/production/task-00009-disp00009/scf.in	0e8650e7bc609295713417dfbc234d43e38c411eae4595d81a7daf36b1544157	72
